UNIX Timestamp,ECG,HR,RR,Marker,datetime_utc,datetime_local,elapsed_seconds
1776408533960914230,0.679,,,,2026-04-17 06:48:53.960914 UTC,2026-04-17 06:48:53.960914,1.476831964
1776408533968606089,1.371,,,,2026-04-17 06:48:53.968606 UTC,2026-04-17 06:48:53.968606,1.484523823
1776408533976297948,1.263,,,,2026-04-17 06:48:53.976297 UTC,2026-04-17 06:48:53.976297,1.492215682
1776408533983989807,-0.284,,,,2026-04-17 06:48:53.983989 UTC,2026-04-17 06:48:53.983989,1.499907541
1776408533991681666,-1.732,,,,2026-04-17 06:48:53.991681 UTC,2026-04-17 06:48:53.991681,1.5075994
1776408533999373525,-1.442,,,,2026-04-17 06:48:53.999373 UTC,2026-04-17 06:48:53.999373,1.515291259
1776408534007065384,-0.544,,,,2026-04-17 06:48:54.007065 UTC,2026-04-17 06:48:54.007065,1.522983118
1776408534014757243,-0.255,,,,2026-04-17 06:48:54.014757 UTC,2026-04-17 06:48:54.014757,1.530674977
1776408534022449102,-0.019,,,,2026-04-17 06:48:54.022449 UTC,2026-04-17 06:48:54.022449,1.538366836
1776408534030140961,0.269,,,,2026-04-17 06:48:54.030140 UTC,2026-04-17 06:48:54.030140,1.546058695
1776408534037832820,0.245,,,,2026-04-17 06:48:54.037832 UTC,2026-04-17 06:48:54.037832,1.553750554
1776408534045524679,0.191,,,,2026-04-17 06:48:54.045524 UTC,2026-04-17 06:48:54.045524,1.561442413
1776408534053216538,0.274,,,,2026-04-17 06:48:54.053216 UTC,2026-04-17 06:48:54.053216,1.569134272
1776408534060908397,0.287,,,,2026-04-17 06:48:54.060908 UTC,2026-04-17 06:48:54.060908,1.576826131
1776408534068600256,0.257,,,,2026-04-17 06:48:54.068600 UTC,2026-04-17 06:48:54.068600,1.58451799
1776408534076292115,0.279,,,,2026-04-17 06:48:54.076292 UTC,2026-04-17 06:48:54.076292,1.592209849
1776408534083983974,0.294,,,,2026-04-17 06:48:54.083983 UTC,2026-04-17 06:48:54.083983,1.599901708
1776408534091675833,0.287,,,,2026-04-17 06:48:54.091675 UTC,2026-04-17 06:48:54.091675,1.607593567
1776408534099367692,0.291,,,,2026-04-17 06:48:54.099367 UTC,2026-04-17 06:48:54.099367,1.615285426
1776408534107059551,0.299,,,,2026-04-17 06:48:54.107059 UTC,2026-04-17 06:48:54.107059,1.622977285
1776408534114751410,0.306,,,,2026-04-17 06:48:54.114751 UTC,2026-04-17 06:48:54.114751,1.630669144
1776408534122443269,0.338,,,,2026-04-17 06:48:54.122443 UTC,2026-04-17 06:48:54.122443,1.638361003
1776408534130135128,0.35,,,,2026-04-17 06:48:54.130135 UTC,2026-04-17 06:48:54.130135,1.646052862
1776408534137826987,0.341,,,,2026-04-17 06:48:54.137826 UTC,2026-04-17 06:48:54.137826,1.653744721
1776408534145518846,0.35,,,,2026-04-17 06:48:54.145518 UTC,2026-04-17 06:48:54.145518,1.66143658
1776408534153210705,0.372,,,,2026-04-17 06:48:54.153210 UTC,2026-04-17 06:48:54.153210,1.669128439
1776408534160902564,0.385,,,,2026-04-17 06:48:54.160902 UTC,2026-04-17 06:48:54.160902,1.676820298
1776408534168594484,0.39,,,,2026-04-17 06:48:54.168594 UTC,2026-04-17 06:48:54.168594,1.684512218
1776408534176286552,0.387,,,,2026-04-17 06:48:54.176286 UTC,2026-04-17 06:48:54.176286,1.692204286
1776408534183978620,0.385,,,,2026-04-17 06:48:54.183978 UTC,2026-04-17 06:48:54.183978,1.699896354
